Category ID,Category Name,Category Label,osm_class,osm_type
52939af83cf9994f4e043a3d,Goiano Restaurant,Dining and Drinking > Restaurant > Latin American Restaurant > South American Restaurant > Brazilian Restaurant > Goiano Restaurant,amenity,restaurant
52939aed3cf9994f4e043a3c,Mineiro Restaurant,Dining and Drinking > Restaurant > Latin American Restaurant > South American Restaurant > Brazilian Restaurant > Mineiro Restaurant,amenity,restaurant
52939aae3cf9994f4e043a37,Northeastern Brazilian Restaurant,Dining and Drinking > Restaurant > Latin American Restaurant > South American Restaurant > Brazilian Restaurant > Northeastern Brazilian Restaurant,amenity,restaurant
52939ab93cf9994f4e043a38,Northern Brazilian Restaurant,Dining and Drinking > Restaurant > Latin American Restaurant > South American Restaurant > Brazilian Restaurant > Northern Brazilian Restaurant,amenity,restaurant
5294cbda3cf9994f4e043a63,Pastelaria,Dining and Drinking > Restaurant > Latin American Restaurant > South American Restaurant > Brazilian Restaurant > Pastelaria,amenity,restaurant
52939ac53cf9994f4e043a39,Southeastern Brazilian Restaurant,Dining and Drinking > Restaurant > Latin American Restaurant > South American Restaurant > Brazilian Restaurant > Southeastern Brazilian Restaurant,amenity,restaurant
52939ad03cf9994f4e043a3a,Southern Brazilian Restaurant,Dining and Drinking > Restaurant > Latin American Restaurant > South American Restaurant > Brazilian Restaurant > Southern Brazilian Restaurant,amenity,restaurant
52939a7d3cf9994f4e043a34,Tapiocaria,Dining and Drinking > Restaurant > Latin American Restaurant > South American Restaurant > Brazilian Restaurant > Tapiocaria,amenity,restaurant
58daa1558bbb0b01f18ec1f4,Colombian Restaurant,Dining and Drinking > Restaurant > Latin American Restaurant > South American Restaurant > Colombian Restaurant,amenity,restaurant
4eb1bfa43b7b52c0e1adc2e8,Peruvian Restaurant,Dining and Drinking > Restaurant > Latin American Restaurant > South American Restaurant > Peruvian Restaurant,amenity,restaurant
5f2c1c31b6d05514c704334c,Peruvian Roast Chicken Joint,Dining and Drinking > Restaurant > Latin American Restaurant > South American Restaurant > Peruvian Restaurant > Peruvian Roast Chicken Joint,amenity,restaurant
56aa371be4b08b9a8d573558,Venezuelan Restaurant,Dining and Drinking > Restaurant > Latin American Restaurant > South American Restaurant > Venezuelan Restaurant,amenity,restaurant
4bf58dd8d48988d1bf941735,Mac and Cheese Joint,Dining and Drinking > Restaurant > Mac and Cheese Joint,amenity,restaurant
4bf58dd8d48988d1c0941735,Mediterranean Restaurant,Dining and Drinking > Restaurant > Mediterranean Restaurant,amenity,restaurant
4bf58dd8d48988d1c1941735,Mexican Restaurant,Dining and Drinking > Restaurant > Mexican Restaurant,amenity,restaurant
58daa1558bbb0b01f18ec1d9,Botanero,Dining and Drinking > Restaurant > Mexican Restaurant > Botanero,amenity,restaurant
4bf58dd8d48988d153941735,Burrito Restaurant,Dining and Drinking > Restaurant > Mexican Restaurant > Burrito Restaurant,amenity,restaurant
4bf58dd8d48988d151941735,Taco Restaurant,Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant,amenity,restaurant
56aa371ae4b08b9a8d5734ba,Tex-Mex Restaurant,Dining and Drinking > Restaurant > Mexican Restaurant > Tex-Mex Restaurant,amenity,restaurant
5744ccdfe4b0c0459246b4d3,Yucatecan Restaurant,Dining and Drinking > Restaurant > Mexican Restaurant > Yucatecan Restaurant,amenity,restaurant
4bf58dd8d48988d115941735,Middle Eastern Restaurant,Dining and Drinking > Restaurant > Middle Eastern Restaurant,amenity,restaurant
5bae9231bedf3950379f89e1,Egyptian Restaurant,Dining and Drinking > Restaurant > Middle Eastern Restaurant > Egyptian Restaurant,amenity,restaurant
5bae9231bedf3950379f89e7,Iraqi Restaurant,Dining and Drinking > Restaurant > Middle Eastern Restaurant > Iraqi Restaurant,amenity,restaurant
56aa371be4b08b9a8d573529,Israeli Restaurant,Dining and Drinking > Restaurant > Middle Eastern Restaurant > Israeli Restaurant,amenity,restaurant
5744ccdfe4b0c0459246b4ca,Kurdish Restaurant,Dining and Drinking > Restaurant > Middle Eastern Restaurant > Kurdish Restaurant,amenity,restaurant
58daa1558bbb0b01f18ec1cd,Lebanese Restaurant,Dining and Drinking > Restaurant > Middle Eastern Restaurant > Lebanese Restaurant,amenity,restaurant
52e81612bcbc57f1066b79f7,Persian Restaurant,Dining and Drinking > Restaurant > Middle Eastern Restaurant > Persian Restaurant,amenity,restaurant
58daa1558bbb0b01f18ec1bc,Ash and Haleem Place,Dining and Drinking > Restaurant > Middle Eastern Restaurant > Persian Restaurant > Ash and Haleem Place,amenity,restaurant
58daa1558bbb0b01f18ec1c0,Dizi Place,Dining and Drinking > Restaurant > Middle Eastern Restaurant > Persian Restaurant > Dizi Place,amenity,restaurant
58daa1558bbb0b01f18ec1c4,Gilaki Restaurant,Dining and Drinking > Restaurant > Middle Eastern Restaurant > Persian Restaurant > Gilaki Restaurant,amenity,restaurant
58daa1558bbb0b01f18ec1c7,Jegaraki,Dining and Drinking > Restaurant > Middle Eastern Restaurant > Persian Restaurant > Jegaraki,amenity,restaurant
5744ccdfe4b0c0459246b4a6,Kale Pache Place,Dining and Drinking > Restaurant > Middle Eastern Restaurant > Persian Restaurant > Kale Pache Place,amenity,restaurant
5744ccdfe4b0c0459246b4a8,Tabbakhi,Dining and Drinking > Restaurant > Middle Eastern Restaurant > Persian Restaurant > Tabbakhi,amenity,restaurant
5bae9231bedf3950379f89e4,Shawarma Restaurant,Dining and Drinking > Restaurant > Middle Eastern Restaurant > Shawarma Restaurant,amenity,restaurant
5bae9231bedf3950379f89da,Syrian Restaurant,Dining and Drinking > Restaurant > Middle Eastern Restaurant > Syrian Restaurant,amenity,restaurant
5bae9231bedf3950379f89ea,Yemeni Restaurant,Dining and Drinking > Restaurant > Middle Eastern Restaurant > Yemeni Restaurant,amenity,restaurant
52e81612bcbc57f1066b79f9,Modern European Restaurant,Dining and Drinking > Restaurant > Modern European Restaurant,amenity,restaurant
4bf58dd8d48988d1c2941735,Molecular Gastronomy Restaurant,Dining and Drinking > Restaurant > Molecular Gastronomy Restaurant,amenity,restaurant
4bf58dd8d48988d1c3941735,Moroccan Restaurant,Dining and Drinking > Restaurant > Moroccan Restaurant,amenity,restaurant
52e81612bcbc57f1066b79f8,Pakistani Restaurant,Dining and Drinking > Restaurant > Pakistani Restaurant,amenity,restaurant
4bf58dd8d48988d1ca941735,Pizzeria,Dining and Drinking > Restaurant > Pizzeria,amenity,restaurant
52e81612bcbc57f1066b7a04,Polish Restaurant,Dining and Drinking > Restaurant > Polish Restaurant,amenity,restaurant
4def73e84765ae376e57713a,Portuguese Restaurant,Dining and Drinking > Restaurant > Portuguese Restaurant,amenity,restaurant
56aa371be4b08b9a8d5734c7,Poutine Restaurant,Dining and Drinking > Restaurant > Poutine Restaurant,amenity,restaurant
4bf58dd8d48988d1c4941735,Restaurant,Dining and Drinking > Restaurant > Restaurant,amenity,restaurant
5293a7563cf9994f4e043a44,Russian Restaurant,Dining and Drinking > Restaurant > Russian Restaurant,amenity,restaurant
52e928d0bcbc57f1066b7e9d,Blini House,Dining and Drinking > Restaurant > Russian Restaurant > Blini House,amenity,restaurant
52e928d0bcbc57f1066b7e9c,Pelmeni House,Dining and Drinking > Restaurant > Russian Restaurant > Pelmeni House,amenity,restaurant
4bf58dd8d48988d1bd941735,Salad Restaurant,Dining and Drinking > Restaurant > Salad Restaurant,amenity,restaurant
4bf58dd8d48988d1c5941735,Sandwich Spot,Dining and Drinking > Restaurant > Sandwich Spot,amenity,restaurant
4bf58dd8d48988d1c6941735,Scandinavian Restaurant,Dining and Drinking > Restaurant > Scandinavian Restaurant,amenity,restaurant
5744ccdde4b0c0459246b4a3,Scottish Restaurant,Dining and Drinking > Restaurant > Scottish Restaurant,amenity,restaurant
4bf58dd8d48988d1ce941735,Seafood Restaurant,Dining and Drinking > Restaurant > Seafood Restaurant,amenity,restaurant
56aa371be4b08b9a8d57355a,Slovak Restaurant,Dining and Drinking > Restaurant > Slovak Restaurant,amenity,restaurant
4bf58dd8d48988d1dd931735,Soup Spot,Dining and Drinking > Restaurant > Soup Spot,amenity,restaurant
4bf58dd8d48988d14f941735,Southern Food Restaurant,Dining and Drinking > Restaurant > Southern Food Restaurant,amenity,restaurant
4bf58dd8d48988d150941735,Spanish Restaurant,Dining and Drinking > Restaurant > Spanish Restaurant,amenity,restaurant
4bf58dd8d48988d14d941735,Paella Restaurant,Dining and Drinking > Restaurant > Spanish Restaurant > Paella Restaurant,amenity,restaurant
4bf58dd8d48988d1db931735,Tapas Restaurant,Dining and Drinking > Restaurant > Spanish Restaurant > Tapas Restaurant,amenity,restaurant
5413605de4b0ae91d18581a9,Sri Lankan Restaurant,Dining and Drinking > Restaurant > Sri Lankan Restaurant,amenity,restaurant
4bf58dd8d48988d1cc941735,Steakhouse,Dining and Drinking > Restaurant > Steakhouse,amenity,restaurant
4bf58dd8d48988d158941735,Swiss Restaurant,Dining and Drinking > Restaurant > Swiss Restaurant,amenity,restaurant
56aa371be4b08b9a8d573538,Theme Restaurant,Dining and Drinking > Restaurant > Theme Restaurant,amenity,restaurant
4f04af1f2fb6e1c99f3db0bb,Turkish Restaurant,Dining and Drinking > Restaurant > Turkish Restaurant,amenity,restaurant
530faca9bcbc57f1066bc2f3,Borek Place,Dining and Drinking > Restaurant > Turkish Restaurant > Borek Place,amenity,restaurant
530faca9bcbc57f1066bc2f4,Cigkofte Place,Dining and Drinking > Restaurant > Turkish Restaurant > Cigkofte Place,amenity,restaurant
5283c7b4e4b094cb91ec88d8,Doner Restaurant,Dining and Drinking > Restaurant > Turkish Restaurant > Doner Restaurant,amenity,restaurant
5283c7b4e4b094cb91ec88d9,Gozleme Place,Dining and Drinking > Restaurant > Turkish Restaurant > Gozleme Place,amenity,restaurant
5283c7b4e4b094cb91ec88db,Kofte Place,Dining and Drinking > Restaurant > Turkish Restaurant > Kofte Place,amenity,restaurant
5283c7b4e4b094cb91ec88d6,Kokoreç Restaurant,Dining and Drinking > Restaurant > Turkish Restaurant > Kokoreç Restaurant,amenity,restaurant
56aa371be4b08b9a8d573535,Kumpir Restaurant,Dining and Drinking > Restaurant > Turkish Restaurant > Kumpir Restaurant,amenity,restaurant
56aa371be4b08b9a8d5734bd,Kumru Restaurant,Dining and Drinking > Restaurant > Turkish Restaurant > Kumru Restaurant,amenity,restaurant
5283c7b4e4b094cb91ec88d5,Manti Place,Dining and Drinking > Restaurant > Turkish Restaurant > Manti Place,amenity,restaurant
5283c7b4e4b094cb91ec88da,Meyhane,Dining and Drinking > Restaurant > Turkish Restaurant > Meyhane,amenity,restaurant
530faca9bcbc57f1066bc2f2,Pide Place,Dining and Drinking > Restaurant > Turkish Restaurant > Pide Place,amenity,restaurant
58daa1558bbb0b01f18ec1df,Pilavcı,Dining and Drinking > Restaurant > Turkish Restaurant > Pilavcı,amenity,restaurant
58daa1558bbb0b01f18ec1dc,Söğüş Place,Dining and Drinking > Restaurant > Turkish Restaurant > Söğüş Place,amenity,restaurant
56aa371be4b08b9a8d5734bf,Tantuni Restaurant,Dining and Drinking > Restaurant > Turkish Restaurant > Tantuni Restaurant,amenity,restaurant
56aa371be4b08b9a8d5734c1,Turkish Coffeehouse,Dining and Drinking > Restaurant > Turkish Restaurant > Turkish Coffeehouse,amenity,cafe
5283c7b4e4b094cb91ec88d4,Turkish Home Cooking Restaurant,Dining and Drinking > Restaurant > Turkish Restaurant > Turkish Home Cooking Restaurant,amenity,restaurant
58daa1558bbb0b01f18ec1e2,Çöp Şiş Place,Dining and Drinking > Restaurant > Turkish Restaurant > Çöp Şiş Place,amenity,restaurant
